COMMENT_ID,AUTHOR,CONTENT
z13actcqdm31slqqu04cctub4n2nw1swwy00k,Sean Ortiz,Incmedia.org where the truth meets you.﻿
z12oep2i2ybiyn0sy23tc1uptrmkhxbse,Andr3wco7,I found out this song now﻿
z13huxgx5rikd13v422khjnjusyvzxx4c04,michelle clough,2 BILLION!!!﻿
z12qzzbpbzn4c5zwu04cir5gmzfozhy4cjk,lebanonwarior1,Song name??﻿
z13dtz1zzkagdromt230g5cqfsejstr3p,Digital Media Butterfly,"The most watched video on YouTube is Psy’s “Gangnam Style”, with 2.1  billion views. PSY - GANGNAM STYLE (강남스타일) M/V﻿"
z13hfnup3tmvxhqfx22yvx4qnwj2gjj2a,Moymoy Palaboy,"This is the best, funny and viral video of history (youtube) THE TRUE﻿"
z12uwhfpwnfrepmhg04ccx2ioxqzip4o0xw0k,VIP 2NEXO,OPPA GANGNAM STYLE!!!﻿
z12kttwqvzi4fd0ei23rdp4xjt2ef5hbk04,Gaming 101,"The funny thing is, 1,700,000,000 of the views are spam bots. I mean c'mon  2 BILLION views? BS!﻿"
z131xnjjtqeyh5dy304cfhm50vagttfyemg0k,Chack Jason,OPPA &lt;3﻿
z133xzqp3ubgyf2ko22osxkrfzvbd5b2y,TheInfectedDoge Gameplay,most viewed video in the world﻿
z122srjbvovwzxg0522yd1i4ty3kznxqs04,Warrdrew,I'm here to check the views.. holy shit﻿
z13lezboqn35jtqlm23mcpgp3tjbghmvk,Parssa Alimadad,"Dear person reading this, You are beautiful and loving Have a great day﻿"
z12aillowmuftn5l022cv3hwbofjctgch,Cool Ong,The Guy in the yellow suit kinda looks like Jae-suk ﻿
z130xbcwfnj5vlskv23airsxqqfqvhl5504,Adam Mudd,How are there 2 billion views and theres only 2 million people in the  world!?!?!?!! MULTIPLE ACCOUNTS!!!1111﻿
z12kix1zlmz3fhmhf04cipe5qpvsxrezbpg0k,Cromwell John Pascual,WAT DA FUCK THIS THE MOST VIEWED VIDEO IN YOUTUBE!﻿
z12mx3zj3pqigd3nb23xtpzwnriczf0zo04,Starfire003,OMG 2/7 People watched this video because there are 7 billion people in the  world and 2 billion watched this﻿
z12afdtaypuat3t5s04ccv4g4xe1elvbcdw,Lindsay Wofford,What is he saying?!?!?!?!?!?!?!?$? ﻿
z123gh5o1pibgntf222einrisrfasnha104,Romeo Sweeney,this has so many views﻿
z13xgr1w3oeycnszq04cihybwtimi3vqc40,Thanh Phong,OMG over 2 billion views!﻿
z13qgpqwlqbgj5jqy04cgnjqruv0gpdaino0k,css403,"i am 2,126,492,636 viewer :D﻿"
z13cc1abmqz5cjpkc223ybzavyibznjey,전광용,Fantastic!﻿
z121eftbimqgy1p5504cjx24tpvbjrpisnc0k,sagar basnet,The population of world is more than 7 billion﻿
z121yttbfpyxw1dya04cgtq4clasebvoib4,Vitor Belliny,2.126.521.750  views!!!!!!!!!!!!!!!!!﻿
z130zp15xof5db0x204cfv55awj1wl3aipc0k,Gianpaolo T,Wow 23 min ago﻿
z12ufrszxq3zstw0r22yfbipvqvaypold,josson 64,SUPER!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!﻿
z12lsp3pnmqlirwwk04cepijkvrustgbcgs,Isuzu,P E A C E  &amp;  L O V E  ! !﻿
z12iubmp2mv1txfsy235vb2xdqirufcp304,jayson calzado,How can this music video get 2 billion views while im the only one watching  here on earth?????? lol﻿
z13rwrwppmyugtzco23xzjswqmrzilyxw04,Vepi road to TIx,Still the best. :D﻿
z12iircxtsjpwvqbd04chjzbemjtj5kohxg0k,Bert Dionne,The most liked video on YouTube...﻿
z12twf5qnmr2vhzsp23nzvn43uekgp4hq04,no honesty,Still watching this 2 years later? ﻿
z13dibpi3raby5evk22yzhfwuli2hnj0t,Aj Riberal,"Lol...I dunno how this joke gets a lot of likes, but whatever. xD﻿"
z13ajrybhwehvxctd22xjvnjvvfig1mai04,SRK FAN,2 Billion Views For This Piece Of Shit... ~ A R E ~ Y O U ~ K I D D I N G ~ M E ~﻿
z12xczhjizrzuhvlp22gh3apkrasg3ggt04,Ben Stalker,GANGMAN STY- *D-D-D-D-D-D--DROP THE BASS!!*﻿
z13zv3phsxnput04k04cdnkw4svghdnas4c,xxxTheMikeTxxx,Will this song ever reach 7 Billion Views?﻿
z130vjpadznpiv44x04cgd1ooljghlzg0es,ahmed khalifa,"Hello all 29.24% earth population of the world, hope your having a great  day :)﻿"
z13rdtkxmnfsdptlc22qwryhlsrfslcht04,Adele Lupei,"Is this the video that started the whole ""got my dick stuck in an elevator""  excuse thing? ﻿"
z12sjrqiurm3sd4rh04chz4oplrmhzmgzmg0k,Stronzo Chicheritr,prehistoric song..has been﻿
z13sw1fapx2dijgv323dur5rcyz3urnut,none dies virgin life fucks us all,You think you're smart?        Headbutt your face.﻿
z12di5a51quhttio304cirdpnvroex14jfg,JakeFrostMiner Palanca,DISLIKE.. Now one knows REAL music - ex. Enimen ﻿
z13wj1pgwlfjjjn4d04cilo5nwnhsbdavzg0k,Tee Tee,Loool nice song funny how no one understands (me) and we love it﻿
z13pfnrxuyelivdoz04cgdx4esa2dxeymck,Oopsthenameistoolong Oh well,Like if you came here too see how many views this song has.﻿
z13wf3fztpfffjoit04chjaxhkurtf1oh5g,witsnow roxiie,We pray for you Little Psy ♡﻿
z132fb4jenqfv5x2r23swfmiyrafyf5ue,johan gade,"''Little Psy, only 5 months left.. Tumor in the head :( WE WILL MISS U &lt;3﻿"
z12rd3vqqsjydb35a04cfxi4kprfxruh5ew,Melissa Harmon,how is this shit still relevant ﻿
z12ffbi4hyauctqeg22livra0kzjcjffv,Eddie Murphy,LOL this shit never gets old﻿
z130i3yaexrmtxyic04ccnk5hwvfs33as0c,Alucard Hellsing,What Can i say....This Song He Just Change The World Completely... So good job PSY... (and your girls are awesome :))) )﻿
z13welx54xa4irprk04cfljw0o3gcnkrxzg0k,John Plaatt,On 0:02 u can see the camera man on his glasses....﻿
z13whrhzczjfx5ozo04chrtiyzunjjewwlk0k,YOU ARE NOW WASTING SECONDS OF YOUR LIFE BY READING THIS LONG STUPID NAME WHICH MAKES NO SENSE!,this comment is wrong﻿
z13iwppp5kf4gnyxn04cjns5kzn4xd0qdwk0k,juanmanuel cespedes,i hate this music. fucking singer and every koean chainise ana US sucks me dick.﻿
z13wtr2yssezhdaqa04cjvbody3qwjhpwk00k,Kirill Nazarethian,2:05. Hahahahah ﻿
z130dbmz2ourjtupz04chhjrpunwcr4yjrs0k,King uzzy,Can we reach 3 billion views by December 2014? ﻿
z12jy1tw0unnhhdnh23yyvyhjsnljxhf4,Gio D.,"Dumb Guy: Why is there 2 billion views when there are 7 million people on  earth??? Also, I know what 1+1 equals! 1+1=1! I am a smartie pants﻿"
z124inzqgoyeh33uw23iibficv2kuf2nx,anthony Jennings,"People Who Say That ""This Song Is Too Old Now, There's No Point Of  Listening To It"" Suck. Just Stfu And Enjoy The Music. So, Your Mom Is Old  Too But You Still Listen To Her Right?....﻿"
z13vc32olxm2znkjz04cd35gnozjebqhlig,TheLegitBroz,The Funny Thing Is That this song was made in 2009 but it took 2 years to  get to america.﻿
z12xgnu4zmroi1vuu221wtihjlbjw3owv04,mindaugux,why I dont see any comments but mine?:/﻿
z12denip3u2dyzqte23ytjoqdsieizlta,Bert Ernie,this jap is such a piece of shit. he is such a worthless fish head. i dont  know how any one likes this dumb untanlted gook. this isnt even fucken  music. this is so fucking sad that this is even such thing. people are so  fucked up.﻿
z133gnr5wmi1idj0y22delw4knabhvwtq,Tabby Ghani,I remember when everyone was obsessed with Gangnam Style 😗﻿
z12aezowoqbjf3sn223hc1xrita3f3oz404,UKz DoleSnacher,Remove This video its wank﻿
z12zjdapzmexcbnsu23qgphzyubsihwsu,Joaco Remis,"Why the fuck this keeps updated? Comments :""5 minutes ago"" Song: ""2 years and  4 months ago""﻿"
z125vpqb2rb1jbxun234evvr1patybvww04,TheRogueScorpion,MANY MEMORIES...........﻿
z12eex1wzu2ky35en22wfpswwxjqynsus,John Schmidt,why are they 5million comments when there is only 279.898 youtube Users.   5million fake account or PSY hacked youtube﻿
z12cu5vhuw2ccfvdi22ecpvobuiof1yat04,Sean Deko,"2,000,000,000 out of 7,000,000,000 people in the would saw this video just  in 2 years and yeat i only get 2 words out of the hole song﻿"
z13sfdopwvmpcfo3023cj3w54q30ftk1x,Nikolay Tekuchev,"This video is so cool, again and again!﻿"
z133gjpr2ybqthyjt04cjjhrtwucsxw4tpk0k,PinkyThePuppyProductions,I am now going to voyage to the first comment...      Tell my family I loved them. 😢﻿
z12pcbng1m2shlgkp23ki1izwkreylid3,Sev3617,"How did THIS Video in all of YouTube get this many views and likes? Why  Gangnam style? I don't have a problem with it, i just don't understand the  phenomena behind it, it's just like any other random music video out  there. ﻿"
z12ts1xbpzv4sfrsd23rfbjourjgcj5mo,Gema LR,With the korean girl more slut and bitch : Hyuna :'33﻿
z12dddjgvrnvtxkni22gsfdzqmu2z1qmm,Angela Flemming,Still a very fun music video to watch! ﻿
z133jzxzav2gw5lq504cgrnx3lbgulw5onc0k,itzquiffer,C'mon 3 billion views!!!!!!!!﻿
z13fgt5wtsf3znibb04cgrfgasztuv5q5wk0k,Diana Roque,"THIS HAS MORE VIEWS THAN QUEEN AND MICHAEL JACKSON, 2 BILLION views omg﻿"
z122ybty1la4dbrz304cgnoh1knkiv0odfg,bruno jovao,LoL﻿
z135cxegbufxdviso23kgn4rqmbvwxyqp04,Spencer Clark,If you pause at 1:39 at the last millisecond you can see that that chick is  about to laugh. Takes a few tries.﻿
z13ucxdzemugi1v5n04ccjloko25drfb4js,Haley Harmicar,"9 year olds be like, 'How does this have 2 billion views when there are  only 3 people in the world'﻿"
z12mfnjahrvcgjh4004cdf3buuzshjsrzhw,Kincaid Liebenberg,PSY is a good guy﻿
z12cwnzbunaji14ah04cf3jizmzpz3igxj4,CHILD,WHY DOES THIS HAVE 2 BILLION VIEWS THIS SONG IS SO ANNOYING﻿
z13axbnqtxfrc3ncc23xxp2wivqbgx43o,sahil samal,1 millioon dislikesssssssssssssssssssssssssssssssss.............﻿
z13csxapuz2ggji2n23dsfhobq30yhle1,Doris Chew,The little PSY is suffering Brain Tumor and only has 6 more months to live.  Please pray to him and the best lucks.﻿
z13qe1myote4hhwox04chrdxbv30dhraerc0k,hunter braddock,For all of the little kidz out there there is Like 7 to 8 Billon people on  earth NOT 7 to 8 MILLON.Get you facts straight before posting comments.﻿
z12duvqj2ozihjxzr04cffmhekeyzbkql20,Arrestme11,How stupid humanity is﻿
z13fib54ilj0ix3ln23cy5h41xi0hduex,The O'dowd Crowd,Come and watch my video it is called the odowd crowd zombie movie part 1 ﻿
z12qfjubxk2iftnwk04chp5amsmmuvpwh5w,FaceTheFacts,You know a song sucks dick when you need to use google translate to know  what the fuck its saying!﻿
z12ttjopmofst1gpp04cc5ezywjrwntjrc0,x Judda,"We get it, you came here for the views... ﻿"
z12wz33h0vbdcdel022hu3npdufjjx2mv,Kelsey bolley,Wow this video is the most viewed youtube video.. second that comes Justin  bieber- baby SMH WHAT HAS THE WORLD COME TO﻿
z13nw3lhgt2nf5wwe04cdlx5iyaydznrve0,Wert Walleet,"This song is great there are 2,127,315,950 views wow﻿"
z13ytrypzmmxwrqsw22hfhf4ivbot5w2q,Hollz C,I'm watching this in 2014﻿
z12ivx14lye5szr4k04cddnhuujytfhz4v00k,The Silhouette,Most viewed video on youtube...daaaaaaaaaaannng those views can almost  dominate the entire...china...﻿
z124elbgazqmuhvs5230ut14uta5irenh,Agarra Mela,"how does this video have 2,127,322,484 views if there are only 7 million  people on earth?﻿"
z12dcrdpiky1w3oia04chrvgxpmuzjv4gcw,Tedi Foto,What my gangnam style﻿
z12qxl3xupmjsbzzg04cfzegyw3xfjjjpfc,StarBlade34 OverLord,Lol this youtuber (officialpsy) is getting so much money lol﻿
z12gdhri2nzouxcxq04ci11h5we3edegkbg,Super Cot,1 million dislikes!EPIC FAIL(ready for you fanboys)﻿
z13jhnc5bozpyx01123nz5ky5yjksrdzm04,restlesswikiinfo,"If I knew Korean, this would be even funnier. At least a bit at the end was  in English, but was spoken quite rapidly.﻿"
z12oxlzh4qjicd2zu04cgfabqtipf3gq4is,Susan Jay,"Enough with the whole ""how does this have two billion views if there's only  7 million on the planet"" we get it. You're joking. It's not funny anymore.﻿"
z12qfpcgnmjcgfqh104cd3fptuuxzxcp0i4,piwnugget,YOUTUBE MONEY !!!!!!!!!!!!!!!!!!!!!!!﻿
z12ws5swdzq4gxqkh23iilpavrmjcjqdy,ThoseFour KidsYaay,2 billion for this shit?﻿
z122z5pa2wyofbjj304cgfwrrmvjgn0pohc,Mia Aspinall,"2 billion views, only 2 million shares﻿"
z13jzr151zb4cfmqs04chbrbukncfhzxy40,Praise Samuel,2 billion views wow not even baby by justin beibs has that much he doesn't  deserve a capitalized name﻿
z12ovv2xcmmtv5exl04cdxe4ql31dd2jiy00k,Liu Chu Yi,I am so awesome and smart!!! Sucscribe to me!﻿
z13fdvwhykzhuldpn04cfdtwkyqterlavnk0k,iKap Taz,Follow 4 Follow                           @ VaahidMustafic Like 4 Like ﻿
z13xwborhli2vdrab04chblgxvjattz4ezs0k,Luna Gamer Potter, I hate this song! ﻿
z12zgfgp1rzzct4ft23jxrwozxabfnjjv04,This Is Really Not Lois Arceo,"NEW GOAL!   3,000,000!  Let's go for it!﻿"
z12dixvi2qepuhb4o04chpd5exjdx3oqdic,DropItLikeItsSloth,just came here to check the views :P﻿
z12kx35bmpbiez0kp22qxrrrrzecznnw004,Puppy Lover5614,I hav absolutely no idea what he's saying. Is it even a language?﻿
z12qzr1q3vqdghaln23asbvwhrmftzrox04,Robin Delwiche,I still to this day wonder why this video is so popular ?? illuminati  confirmed ??﻿
z123vd4i3laosnv4b04ci3pwunuvytarigs,Thuan Lai Tran,This is getting old.........﻿
z12jeraoczqvvbkmz23hsbcptweedlrxx04,BIGMOFO Tonkatruck,just came to check the view count﻿
z124zbcigmbfvhpru04cepdx2vikibhp42c,Yabbamita DBH,"If the shitty Chinese Government didn't block YouTube over there, there'd  be close to 3 billion views right now. ﻿"
z13pzv4gkkj3hpe4g04ccdma2vbtcliiu1c,Muhd Hafiz,WORLD RECORD YOUTUBE VIDEO VIEWS !!!!!! XD﻿
z13uffbajziyw5cfp23bwbw5auytzdl5b04,Juris Dumagan,I think he was drunk during this :) x)﻿
z135zz0xwx2jetyt523mejn40qifw5hjo04,Jennifer Isaksen,"Hahah, juyk! I allways laugh at the part 1:57.. LOL!﻿"
z12usr54ppaxxf1dl23nhbybruapdnixw04,Arthur Teixeira,"I wanted to know the name of the guy that dances at 00:58, anybody knows ?﻿"
z13pitkr5prbgf3ja04cjjg4qme3txjpyqc0k,Yeung Marvin,"Haha its so funny to see the salt of westerners that top views of youtube  goes to video they dont even understand, keep the salt up!﻿"
z12oex5p1miewvugp04cgjfqiq3xsxrolhk,Caius Ballad,imagine if this guy put adsense on with all these views... u could pay ur  morgage﻿
z12gcx5hzkayhbmve23ghd3plt2czf2rp04,ArioseRose,"Don't mind me, I'm just checking what the views are up to : )﻿"
z12yivpznrezu3gyf04ce11xdvmquxzjdo00k,Tom Hosford,"To everyone joking about how he hacked to get 2 billion views because  there's a certain amount of people or whatever,  He actually did buy views.﻿"
z12uyzhazxqkzbrzz04cedqpkwzdvjyy3u40k,Brandon Wilson,Why does a song like this have more views than Michael Jackson SMH﻿
z13sh3cz1kbqgrai504cf53qsq25ypmi5zs0k,Leonel Hernandez," Something to dance to, even if your sad JUST dance!!   PSY - GANGNAM STYLE (강남스타일) M/V: http://youtu.be/9bZkp7q19f0﻿"
z12etrpq5xu0vnm2g230szo5ote3zviny,InterGaming,everyones back lool this is almost 3 years old and people are still hear!  xD﻿
z13th1q4yzihf1bll23qxzpjeujterydj,Carmen Racasanu,How can this have 2 billion views when there's only me on the planet? LOL﻿
z13fcn1wfpb5e51xe04chdxakpzgchyaxzo0k,diego mogrovejo,I don't now why I'm watching this in 2014﻿
z13vhvu54u3ewpp5h04ccb4zuoardrmjlyk0k,Ray Benich,"The first billion viewed this because they thought it was really cool, the  other billion and a half came to see how stupid the first billion were...﻿"
z121tz2zhzjgercem23yttsqvnuijljql04,Daniel Korp,"katy perry does remind me of a tiger,like as if its her spirit animal :3 &lt;3﻿"
z13hyv0ixuavuliyt04cix1j5t3qgpggce4,Paul Hannam,In what South American jungle or any jungle for that matter do you find an  African elephant and a bengal tiger in the same place. Who made this video.﻿
z13cyh3gowyyxlotr23vsplhbt23hbmwy04,Angie Sivrikozi,"Its a good song and i like her video clip, because its a bout a girl that  her airplane crashed on a land far far away... and she found the way to  survive! And i love the pet tiget too( Kitty Purpy) lol :D﻿"
z13cwrzyolf1zh4v023ctteams25hldf5,Zain Hassan,Thanks to this video we know that Nokia phones can survive a plane crash.﻿
z135drnwswvsgvkyq04cfjh4xpb3cn2hugg,Sam Klein,"She named the tiger Kitty Purry  No, seriously, she did, check the video ﻿"
z12rgdghtm3gc3j4004cizn50y3xybujalw0k,Littleprincess,Perfect! &lt;3﻿
z133uthy3uvscvxox04cfr1bjw2idvehcxw0k,Justin Chery,"And after the video ends, a 13 ft. boa constrictor squeezes her to death.﻿"
z12ihhpimqitsznag04cc3y5jke1d1rhkus0k,Jack El Matador,"should not have paused the music, this is a clip, not a movie.﻿"
z12ag5uwdzrajx1yp04chp1r2sa5ubugez00k,xhonavsky,"I love this song, it´s for empowering every woman :)  ""you´re gonna hear me roar"" ;)﻿"
z13jtvmwoqjvsxj4p04cdhbwswnsf5qqv24,Ricky Smith,This song makes me want to drink bleach﻿
z12bjffg3yu4ybx4e04cjzfbyxqcdzyxl3s,maurice davis,If she really did this there she's hardcore﻿
z13jhj1wdzmiwjdjn04ccx2gfpynuzyjo4w,Robert Kim,"I'm sorry Katy Perry, I was being weird. I still love you &lt;3﻿"
z120uhiw0ubhcnxvi23uw5oorpuncvso204,tombraiderxXx12,I'm not a big fan of the song but this video is awesome!﻿
z12kjjlhsmiqsfzrb04ch5i5rt2qvbahppg0k,Eder Rodriguez,katy perry  just stop it and dont do a song i dont like it﻿
z13ay5zytl3icfrij04cc1kakqb4cpu4oks0k,Kathy L.,In my opinion I think you look better with black hair then blond hair : )﻿
z13tc1brnvvpxtd3i225u5djckjntpniz04,Sofia Aristizabal,"I loved, she is amazing.. OMG your eyes*_*﻿"
z13mh3ih5xqtdvt3z22xdhvp4pfhxfmhz04,Rahul Thorat,You gonna hear me ROARRRR.....﻿
z13lsbqpwk3xej2jv04cetyypm22w3pgo4s,Christ Is Risen,I WILL FINISH THIS DISSERTATION! And I will laugh in its face when I  finish! Roaaarrr =3﻿
z12tvfbi0sntvhgzw04cgf35lymwivhqepo0k,blondedbythelight703,She's an old Whore!﻿
z12xituo3vvdxvrhk04cdxmilwfwhfdgmz00k,moilovemoi,ROAAAAARRRRRR 🐯🐯🐯﻿
z12wsbxquxjthdm0i22jc3ehdnuhwv5xi04,caleb owczarzak,This looks so fun and it's a good song﻿
z131i52zez2uythxs04chxi45y2otxcjcw00k,Jessy  Riivera,I love You Katy ♥﻿
z131xnwierifxxkj204cgvjxyo3oydb42r40k,YULIOR ZAMORA,I    loved        it           so       much          because         you          get         to         stand            fear .﻿
